,0,,,
KNRCON,Industrials,Construction,Construction,Civil Construction
KOHINOOR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
KOKUYOCMLN,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary
KOLTEPATIL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
KOPRAN,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
KOTAKBANK,Financial Services,Financial Services,Banks,Private Sector Bank
KOTARISUG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
KOTHARIPET,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
KOTHARIPRO,Services,Services,Commercial Services & Supplies,Trading & Distributors
KPEL,Utilities,Power,Power,Power Generation
KPIGREEN,Utilities,Power,Power,Power Generation
KPIL,Industrials,Construction,Construction,Civil Construction
KPITTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
KPRMILL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
KRBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
KREBSBIO,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
KRIDHANINF,Industrials,Construction,Construction,Civil Construction
KRISHANA,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
KRITI,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
KRITIKA,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
KRITINUT,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
KRN,Industrials,Capital Goods,Industrial Products,Other Industrial Products
KRONOX,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
KROSS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
KRSNAA,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
KRYSTAL,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
KSB,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
KSCL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
KSHITIJPOL,Commodities,Chemicals,Chemicals & Petrochemicals,Printing Inks
KSL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
KSOLVES,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
KTKBANK,Financial Services,Financial Services,Banks,Private Sector Bank
KUANTUM,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
LAGNAM,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
LAKPRE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
LAL,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
LALPATHLAB,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
LAMBODHARA,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
LANCORHOL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
LANDMARK,Consumer Discretionary,Automobile and Auto Components,Automobiles,Auto Dealer
LAOPALA,Consumer Discretionary,Consumer Durables,Consumer Durables,Glass - Consumer
LASA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
LATENTVIEW,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
,,,,
LAURUSLABS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
LAXMICOT,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
LAXMIDENTL,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
LCCINFOTEC,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
LEMONTREE,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
LFIC,Financial Services,Financial Services,Finance,Investment Company
LGBBROSLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
LGHL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
LIBAS,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
LIBERTSHOE,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
LICHSGFIN,Financial Services,Financial Services,Finance,Housing Finance Company
LICI,Financial Services,Financial Services,Insurance,Life Insurance
LIKHITHA,Industrials,Construction,Construction,Civil Construction
LINC,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary
LINCOLN,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
LINDEINDIA,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases
LLOYDSENGG,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
LLOYDSENT,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
LLOYDSME,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
LMW,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
LODHA,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
LOKESHMACH,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
LORDSCHLO,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
LOTUSEYE,Healthcare,Healthcare,Healthcare Services,Hospital
LOVABLE,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
LOYALTEX,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
LPDC,Consumer Discretionary,Realty,Realty,Real Estate related services
LT,Industrials,Construction,Construction,Civil Construction
LTF,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
LTFOODS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
LTIM,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
LTTS,Information Technology,Information Technology,IT - Services,IT Enabled Services
LUMAXIND,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
LUMAXTECH,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
LUPIN,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
LUXIND,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
LXCHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
LYKALABS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
LYPSAGEMS,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
M&M,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
M&MFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
MAANALU,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
MADHAV,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
MADHUCON,Industrials,Construction,Construction,Civil Construction
MADRASFERT,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
MAGADSUGAR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
MAGNUM,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
MAHABANK,Financial Services,Financial Services,Banks,Public Sector Bank
MAHAPEXLTD,Financial Services,Financial Services,Finance,Other Financial Services
MAHASTEEL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
MAHEPC,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
MAHESHWARI,Diversified,Diversified,Diversified,Diversified
MAHLIFE,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
MAHLOG,Services,Services,Transport Services,Logistics Solution Provider
MAHSCOOTER,Financial Services ,Financial Services,Finance,Investment Company
MAHSEAMLES,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
MAITHANALL,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
MALLCOM,Industrials,Capital Goods,Industrial Products,Other Industrial Products
MALUPAPER,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
MAMATA,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
MANAKALUCO,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
MANAKCOAT,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
MANAKSIA,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
MANAKSTEEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
MANALIPETC,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
MANAPPURAM,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
MANBA,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
MANCREDIT,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
MANGALAM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MANGCHEFER,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
MANGLMCEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
MANINDS,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
MANINFRA,Industrials,Construction,Construction,Civil Construction
MANKIND,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MANOMAY,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
MANORAMA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
MANORG,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
MANUGRAPH,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
MANYAVAR,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
MAPMYINDIA,Information Technology,Information Technology,IT - Software,Software Products
MARALOVER,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
MARATHON,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
MARICO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
MARKSANS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MARUTI,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
MASFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
MASKINVEST,Financial Services,Financial Services,Finance,Investment Company
MASTEK,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
MASTERTR,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
MATRIMONY,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
MAWANASUG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
MAXESTATES,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
MAXHEALTH,Healthcare,Healthcare,Healthcare Services,Hospital
MAXIND,Financial Services,Financial Services,Finance,Holding Company
MAYURUNIQ,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products
MAZDA,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
MAZDOCK,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services
MBAPL,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
MBECL,Industrials,Construction,Construction,Civil Construction
MBLINFRA,Industrials,Construction,Construction,Civil Construction
MCL,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
MCLEODRUSS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
MCLOUD,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
MCX,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform
MEDANTA,Healthcare,Healthcare,Healthcare Services,Hospital
MEDIASSIST,Financial Services,Financial Services,Insurance,Insurance Distributors
MEDICAMEQ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MEDICO,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MEDPLUS,Consumer Discretionary,Consumer Services,Retailing,Pharmacy Retail
MEGASOFT,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
MEGASTAR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
MENONBE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MEP,Services,Services,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
METROBRAND,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
METROPOLIS,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
MFML,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
MFSL,Financial Services,Financial Services,Insurance,Life Insurance
MGEL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
MGL,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
MHLXMIRU,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
MHRIL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
MICEL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
MIDHANI,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
MINDACORP,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MINDTECK,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
MIRCELECTR,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
MIRZAINT,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products
MITCON,Services,Services,Commercial Services & Supplies,Consulting Services
MITTAL,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
MKPL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
MMFL,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
MMP,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
MMTC,Services,Services,Commercial Services & Supplies,Trading & Distributors
MOBIKWIK,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
MODIRUBBER,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
MODISONLTD,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
MODTHREAD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
MOHITIND,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
MOIL,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
MOKSH,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
MOL,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
MOLDTECH,Industrials,Construction,Construction,Civil Construction
MOLDTKPAC,Industrials,Capital Goods,Industrial Products,Packaging
MONARCH,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
MONTECARLO,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
